#championsleague i am cmng to watch you...all matches in hyd #feelinghappy hope #mumbaiindians comes to hyd...catch me in #southextension	joy	anticipation	trust
#mufc wages up19% in13/14 season with #dimaria #falcao #herrera #rojo and others joining where will @manutd be without #epl top 4 and #ucl?	anticipation	fear	
#sterlings getting some great experience here. i'm sure he'll learn from it and it will help for the #ucl	joy	trust	anticipation
i'm due an upgrade, do i wait off and get the iphone 6 or get the samsung s5 ??	sadness	anticipation	
i'm eager to see android wear and a device in person first. just not attractive. watches are jewellery after all. not bulbous attachments.	fear	anticipation	
i'm getting a new iphone. either iphone 4s, or an iphone 5. #iphone	anticipation	fact	
i'm looking for a galaxy with a good camera run off a sim card and big. or a iphone 5c	anticipation	fact	
i'm looking forward to the iphone 6's sapphire display (no need for screen protectors) but the the protruding camera means it won't lay flat	anticipation	fear	
i'm no big fan of apple but this android nexus 6 is just shit compared to my iphone so many glitches! the damn keyboard forgets to show up.	anger	sadness	
i'm reaally debating on gettin this iphone 5s or either the samsung galaxy mega...or maybe i should just stick with my iphone 4...	sadness	anticipation	
i'm too obsessed with my new iphone camera lenses!!!!! share my excitement!!!!!! 🎉	joy	trust	
i've asked for ideas with today android ecosystem. i said remote control using android wear, android clock. the ideas commented as flaws. :d	surprise	sadness	
i've been witness to a few ig photoshoots in my day, women are exceptionally talented wit the iphone camera	surprise	trust	
if a smartwatch looks like a rolex, it wins. if it looks like those dorkest iwatch mock-ups, it loses.	trust	anticipation	
if anyone is down to trade a samsung galaxy for an iphone 4s i'm ready to make a move.	anticipation	trust	
in october apple releases the iwatch, the iphone 6, and the new macbook pro, i need to save up about $2900 to buy all three	anticipation	trust	sadness
iphone 5 or samsung galaxy s5?	sadness	anticipation	
iphone and samsung should just merge and make an amazing phone	anticipation	trust	
iphone and samsung think that by making their phones bigger people are gonna buy them	disgust	fear	
is it just me who's sick of #iphone6 and #iwatch mockups? #ff	anger	fear	
it pains me to say this but... i want an iphone again!	disgust	anticipation	
#samsung #is #shiiiiiiiiiiiiitttttttt !	anger	disgust	
it's hot i'm hungry and only have 10% of battery life aaaahhhh  ... save meeee 🆘 #camplife	sadness	anticipation	anger
it's sad that my ipad mini, and even my iphone 3g, takes better video than my ge power pro x500 dslr-style camera, which is not cheap.	sadness	anger	
iwatch will definitely make #samsung galaxy gear series look like a piece of crap, even if it's actually is.	anticipation	trust	joy
i♡my phone! i thought after we upgraded to 4g my battery life would be crazy but it's the exact opposite! #note3 #docomo #notslowatall	surprise	joy	trust
just been reading up on the samsung galaxy tab s 8.4  looks like it’s time to say bye to my nexus 7, i will wait to see the nexus 9 b4 i buy	anticipation	sadness	fear
just gonna say this a few months in advance before all the hype kicks in... i'm buying an iwatch the second it comes out.	trust	anticipation	fear
just got an iphone 5s and two samsung galaxy tablets for $50 😂👌😏	joy	surprise	
just heard that wearable medical technology will be driven by big pharma. dollars drive innovation.  #reachwearables	surprise	trust	anticipation
managed to smash a samsung galaxy and a iphone in the space of a week😭	sadness	surprise	anger
miui needs better english themes. the chinese ones are great, but there's no pure english theme that is sharply designed. #xiaomi #mi3	disgust	anticipation	
my #samsung  mobile is officially crap!!! #neednewphone #annoyed !!	anger	sadness	
my battery life for my iphone is straight idk what y'all be talking about	trust	anger	
my battery life gets destroyed in this building.. thanks montco 🔋😳	anger	sadness	
my battery life goes from 90% - 60% in a matter of 20 minutes....	sadness	anger	
my ipad goes on charge at least 3 times a day. awful battery life on it now 😩	sadness	anger	
my iphone 5s goes dark when i open messages and hover my finger over the front camera.  surely, that's not a feature.	sadness	sarcasm	anger
my iphone camera would break the trip i planned on being a photographer what kind of luck is this shit	anger	sadness	
my mama not getting these samsung ear phones back , these bitches sound like the iphone 5 😏☺️sweet!	joy	surprise	
my mom had samsung galaxy s4. but today she's gone back to iphone. cause iphone rules 👌 and android sucks 👎	joy	trust	
my phones battery life is so scarce when its trying to find service 😭	sadness	anger	
new cheaper imac launched. pretty slow processor compared to the rest of the range	disgust	fear	
new phone day today ditching the iphone for a samsung, could become a stressful day!!	anticipation	fear	
nexus 6, sony z3, samsung note3 & iphone 6 make sept the best new tech month	joy	trust	
not sure where to pick up my watch, but it’s likely to be a wearable brick without an android device. #googleio #io14	fear	anticipation	
of all the android wear smartwatches i have seen, the moto 360 appears to be the best-looking watch. #motorola	trust	anticipation	
off to @sue_ryder camden to see some wearable up-cycled fashion from @lcflondon - they will be on display all week #saved	anticipation	trust	
one thing i hate about the samsung galaxy is that i constantly make typos.  iphone was really good with correcting	anger	sadness	
please tell me he's wearing an android wear phone. am hoping it's the moto 360.	anticipation	fear	
plus sides to tablet phone: watching netflix	joy	trust	
downside: shitty battery life #probablytheamountofnetflixiwatch	sadness	disgust	
posit: google, samsung have jumped the gun with shit due to iwatch rumors. just like the iphone, apple will give you the elegant solution.	anticipation	trust	
put solar panels on the top of vehicles to extend battery life of electric cars #solutions	trust	anticipation	
rumored #iwatch no threat for swiss manufacturers. one is a #watch and a #wearable #technology whilst the other is in the jewelry industry.	trust	anticipation	
samsung now has a camera button on the lock screen, it's only a matter of time b4 apple sues them over that.	anticipation	fear	
saw someone using the same xiaomi mi-3 as me on the train! cool...	surprise	joy	
scratch that; my nexus 7 tablet can't connect to the wifi here. back to iphone. #googleio #mobilemomentum	anger	anticipation	
second android wear ota update just went out. no idea what's in these.	fear	anticipation	
seriously considering never getting another iphone... the battery life is awful! 😡	disgust	sadness	anger
seriously, for my birthday, i wish i can give my own self an iphone~ or samsung galaxy note?? :'(	sadness	anticipation	
should i get the samsung galaxy s5 active or stay with my iphone?😭	sadness	anticipation	
should i switch to an iphone or stay with samsung? #help #soconfused #bigdecisions #sos	sadness	anticipation	
should i wait for the #iwatch to release or just go with the #pebblesteel .... hmmmm	fear	anticipation	
sick of the iphone battery life, thinking of changing phones. any suggestions?	disgust	anticipation	
so all these speakers at google i/o 2014 are just gonna flaunt the new android wear watches just like that? it's ok.	disgust	surprise	
so far, tech companies seem to not get that wrist wearables need to be stylish to work. curious if apple iwatch will reverse the trend.	disgust	anticipation	
so fat my iphone camera thinks my double chin is a whole other person 😭	sadness	disgust	
so i'll wait until thats sorted because i have the laptop on charge because the battery life is shit	anger	anticipation	
so i'm seriously considering buying a google nexus 5 to replace my iphone. opinions?	anticipation	anger	
so the real question is will the #iwatch be pretty & featureful enough to cause me to drop my pebble brand loyalty?	anticipation	fear	
so, the leak of celeb photos allegedly via icloud - is it a pr stunt by @google / @samsung before the new iphone release? #justasking	anticipation	fear	
some of y'all are getting hyped for certain phones that just came out. wait till the iphone 6 and iwatch come out! #patientlywaiting #iphone	anticipation	trust	
soooo @kalebdf, i need your help writing an android wear app. :)	anticipation	joy	
still baffled as to why a new nexus device wasn't announced yesterday...	surprise	sadness	disgust
stories of a $300 iwatch being expensive are written by people buy $20 timex crap.	disgust	anger	surprise
switching to s5. iphone is a fragile piece of shit. in addition to camera, vibrate and speaker failing in less than 2 years, wifi just died.	disgust	anticipation	
the camera on the nexus 5 is also much much worse than what i'm used to on the iphone 5.	disgust	sadness	
the iphone 5's shitty 8mp camera: ruining your memories one blurry shaky picture at a time #thisismylastiphone	anger	disgust	sarcasm
the iphone 6 better have a battery life that actually lasts a whole day 😒	anticipation	disgust	anger
the iphone 6 needs to hurry up and come out! the battery on this samsung don't last more than 5 hours of usage.	anticipation	disgust	
the iphone6 better have ill battery life or  else i'm converting to team android	anticipation	fear	
the only reaso  why i wanna get iphone is because of the camera. but , i still prefer being an android user.	sadness	anticipation	
the only thing i want from the new iphone is for it to be waterproof, have a long battery life and a bigger screen. 📱	anticipation	trust	
the real challenge would be if @xiaomi is able to launch the mi4 at the same price as the mi3 in india..	anticipation	fear	
their new wearable tech has been around for years! a watch with fitness sensors... guys please... we been having it...	disgust	surprise	anger
there are no android phones that have *better* battery life than the iphone… only bigger batteries.	anger	trust	
track stress level and mood changes would be great. nfc finally?	anticipation	trust	
turned the brightness down on my screen and i got 10 more min of battery life left #tybg	joy	surprise	
ultra tempted to get xperia z3 if apple doesn’t improve the battery life in ”iphone 6” #datbatterylife	anticipation	sadness	
update your galaxy phone people 📱📱📱...  #samsung #samsunggalaxy	anticipation	trust	
update: i'm basically set on getting a nexus phone in the future	anticipation	trust	
watching jacob taking selfies on his iphone 3g without a front camera is hilarious	joy	sarcasm	
wearable technologies in near future is like having your own doctor all the time.	anticipation	trust	joy
what has beauty,performance and amazing battery life? it's @lgcanada and the all new #lgg3  coming soon to a carrier near you on august 1st.	trust	anticipation	joy
what's happening with nexus open? have successful submissions been chosen yet?	fear	anticipation	
when i get that samsung in my hand when i get home this iphone will meet a hammer, a wall, my fist, or the gulf #fuckyouapple	anticipation	ambiguous	anger
who wants to bet on the iwatch # 1 feature: you don't need an ios device for it! 💰	anticipation	trust	
why is the battery life on my ipod so appalling recently?! 🔋👎	surprise	sadness	anger
wish it was that easy for hubby to switch his phone to an iphone because samsung phones are ehh.	disgust	anticipation	
with all these chinese handsets goin on, xiaomi, oppo, ninetology, huawei, lenovo... its just too much..	anger	sadness	
worked out the reason the camera flash on my iphone has been shit for the last year is because i never peeled plastic layer off the back	surprise	disgust	sadness
yay, looks like my @android wear @samsung gear live watch has been dispatched from @googleplay *excitedexcitedexcited*	joy	anticipation	
you seriously need to jack up the battery life on the controllers. consider that with the color controllers releasing soon. @playstation	anticipation	sadness	
“@d_boyjg: why is the snapchat camera better the regular camera?? 😒😒😒”!!!!	anger	surprise	
@sue_hen: freaky brainwave wearable technology showcased by tracey chong from muse #inbounduk14 @ifb2014	surprise	joy	fact
@tallguy_sli i'm glad you realised that :') that's why i'm a samsung guy lol	joy	trust	
@tapbot_paul any nokia aisha (they have varying features, such as qwerty keyboards. they’re all solid and have long battery life).	trust	joy	anticipation
@taylorcaniff i cant get like whoo because i have a samsung😭 can you hear my cries?😭😭✌	sadness	anger	
@thecambartkus but actually, the samsung galaxy with it's watch thing is cool as af.	joy	surprise	trust
@thephonesurgery iphone 5 been dropped the camera works but doesn't focus. any idea how much to fix mate? thanks.	sadness	anticipation	
@thetechdad @mistygirlph what is the best tablet that has the longest battery life and storage? #vzwbuzz	anticipation	fear	
@threeuksupport thanks, but i have tried that with no result. i am trying the samsung kies download to see if that works.	sadness	anticipation	
@tmobileuk haha funny how ur always try to put blame on equipment, ive had 3 phones iphone 4s, samsung s3 and now iphone 5 so its not equip	joy	trust	anger
@tobes444 it's not complicated science lav it's logic. you don't need it for graphics use and the memory/processor is good	trust	anger	
@tony_harrison3 @mateooo_m13mino thought he was slick with the camera 😂	joy	surprise	sarcasm
@treadstonenw hahaha. i can't help it if the camera is drawn to me!	joy	fear	
@trimet i have. disappointing is the best word i have about the app. ui has always been broken on nexus 5, now also destroys battery.	sadness	anger	disgust
@twitflup is it just the camera angle, or is that candy floss almost as big as her?!	surprise	fear	anticipation
@tyloofs sticking with iphone, but this is getting ridiculous.	anger	fear	anticipation
@typical_wesley it looks almost decent on camera maybe but not on paper	disgust	sadness	
@vanessaavelar_1 it's an alligator, you need and iphone 😂😂😂	joy	trust	
@viticci my problem with an iwatch: i don’t always wear the same watch. i alternate and coordinate with my clothes that day.	disgust	fear	
@waldo_jusfoolin @tee_bailss driving to fast camera ain't quick enough to get me	trust	joy	
@whatsapp why can't i download the app on my samsung tablet 2014?	sadness	anger	anticipation
@whatthebit what'll you say for xiaomi mi3 then? it's actually priced at ₹13,999 in india. roughly $234 only. :)	anticipation	joy	
@whattheffacts looks like the iphone 5s with slight differences.	sadness	disgust	
@williamcafox lucky. my nexus 7 got a few hairline cracks and the entire digitizer died.	sadness	anger	
@willislim you saw that samsung  just released a significantly improved model? 2 bloody months later.	anger	surprise	disgust
@woochan samsung and lenovo (for students). they're quick and easy but limited bc no java and stuff	fear	sadness	anticipation
@wwenerd14 but only on camera, only on camera. why do remember that song?!	surprise	anticipation	fear
@yo_wannn word, hope apple not taking the samsung route, turning phones into tablets	anticipation	fear	
@youtube whys videos not available in the format to watch on iphone?	disgust	sadness	anger
@zackwhittaker @ashleyesqueda copper colored samsung gear 2. i have one, it sucks.	disgust	sadness	anger
@zcichy @ohmdee exactly. all you need is samsung to go tizen, and android marketshare could plummet.	fear	anticipation	joy
@zee_mizee its this samsung smart type swipe keyboard thing. i can't stop using it	joy	trust	anticipation
@zpower oh god does that mean a samsung j-body is coming soon? suppose the greasy plastic ‘leather’ already happened	fear	anticipation	
#burntout on hearing about #russia. what r #cameron & #obama doing with #threat #china is posing on #3 financial centre behind ny & london?	anger	disgust	fear
#ceasefire agreed in #ukraine after telephone chat to putin! thank god for that. #peace ❤️	joy	trust	surprise
#foreignpolicy #obama #isis: his delusional descent into 'the muslim world' destroyed #libya #syria #iraq again, almost #egypt too	anger	disgust	sadness
#foreignpolicy idiocy: as a result of us inflaming #syria, aq isis controls half of #iraq, threatens #baghdad. and us demonizes ... #russia	anger	disgust	sadness
#obama #gop  where are the leaders for #peace?? #nomorewars	anticipation	fear	
#fuckhamas #yourgoingdown so proud of my family and friends who are fighting for israel at the moment! #staysafeisrael #israel #home #idf <3	trust	joy	fear
#gaza #freepalestine  obama is nothing more than a puppet of israel. the un is becoming an international arm of the us in protecting israel	disgust	fear	anger
#gaza doesn't await your help. for the holy land has a lord that will protect it...!!! #palestine	trust	anticipation	joy
#gaza security council adopts statement expressing serious concern about gaza crisis.	fear	anticipation	fact
#gaza whats happening in #gaza plzz can any one tell....	fear	anticipation	sadness
#gaza: 75 dead & more than 700 wounded o allah accept the shuhada (martyrs) #gazaunderattack #gazaunderfire #palestineunderattack #palestine	sadness	fear	anticipation
#gazaunderattack  @unicef  as you are a human rights foundation why aren't you stopping #israel from attacking #gaza  @hrw  @unrightswire	anger	sadness	disgust
israel still armed by us/eu aft their gaza murder families/children/ now invasion westbank: un silent	anger	sadness	fear
oh,sorry. rapists. isis jihadists are rapists.	anger	disgust	fear
that makes much more sense.	trust	joy	surprise
....day starts w/ news of #israel dropping missiles on #gaza, pics of mushroom clouds ovr #gaza sky, #palestinian death.#stopattackinggaza .	sadness	disgust	fear
...is that malaysian plane got shot down by russian rebels in ukraine, god help russia	sadness	fear	surprise
.@borgebrender: looking forward, opportunities in #ukraine are many but #ukraine must fight corruption, enact economic reforms. #futurenato	anticipation	fear	sadness
145 people killed in gaza since tuesday, 55 are children, what israel can get away with is sickening!	anger	sadness	disgust
2/2 may peace and protection come back to palestine. in'shaa'allah ameen.	anticipation	trust	fear
295 dead within seconds in ukraine plane crash. 224 dead in gaza in 10 days. west will react more, muslims go silent. hypocritical world.	disgust	anger	sadness
2:00 am. still ongoing israeli raids on the gaza strip	sadness	anger	surprise
3 israelis dead = destruction of gaza with mindless murder of poor palestinians! @un #un #us #shame @ushouserep #israel #palestine #gaza	anger	sadness	disgust
3rd place: palestine 2nd place: philippines ♥ not bad, not bad at all. #pffpeacecup	joy	trust	surprise
4 months of russian escalation in ukraine. only possibility of peace = when eu threatened to act tough.eu lost credibility/russia escalates!	anger	fear	sadness
@00hbani israel is doing all the killing and not in self defence!	anger	sadness	fear
@00highonlife00 so much fight for a piece of land between russia and ukraine!	disgust	sadness	anger
you cant broker a peace deal between #israel & #palestine everybody knows you're behind israel.	anger	disgust	fear
debating whether or not to root for russia #ukrainianproblems	fear	anticipation	
demi got banned from russia for standing up for homophobia wow russia really	surprise	anger	disgust
despise everything what israel stand for  but these pictures are horrific	sadness	disgust	fear
devastating news about the malaysian airline crash in the ukraine	sadness	fear	anger
did russia just shoot down a malaysia jet thinking ukraine was attacking?	surprise	fear	disgust
did russia really just shoot down a malaysian plane over ukraine?	surprise	fear	anger
did the russian separatist rebels shoot down a passenger airline? or was it the ukrainian army? maybe it was putin. fucked up any way.	surprise	fear	anger
do it for the children in palestine and israel #stoptheviolence #keepthepeace	anticipation	trust	fear
do not fly with malaysia airlines! in all seriousness why is the ukraine-russia conflict still going on?!	sadness	fear	anger
does not mean i don't care if i'm not retweeting all those tweets regarding palestine/gaza.	anger	sadness	
does president obama not understand that should isis catch a second wind and continue to advance, iran will be in there in a heartbeat #tcot	fear	anger	surprise
don't be blinded by the truth the people of gaza are constantly attacked yet the media doesn't show the kids that israel troops are killing	disgust	anger	sadness
emotional sermon about palestine just now during friday prayers.	joy	trust	surprise
england, germany, spain, italy & france aren't cheering israel on in its murderfest in gaza. those days are over. @avimayer	trust	joy	surprise
every social network are covered with all the gaza images..where are the medias??? #gaza #palestine #savegaza	disgust	fear	surprise
everyone is silent on attacks of israel on innocent palestine people... are they not human...	anger	sadness	disgust
everyone is talking about gaza and israel but what about the us in the middle east our government is killing kids too they just cover it up	disgust	fear	anger
everyone knows what israel did to the people in gaza, it's not a war but a genocide ! why u.n don't they send their peacekeepers ?	fear	anger	disgust
evil can be defeated by an overwhelming response. isis is evil.the usa will not shy away from destroying this evil scourge.#isis#potus	trust	anticipation	anger
felt so good donating my own money for the children in palestine :')	joy	trust	anticipation
first putin makes #obama look like a bitch, now cameron makes #obama and #biden look like a couple of cowards, they both need to resign...	anger	fear	disgust
fking hell i swear if any other countries go to war against israel to protect palestine, they deserve great respect.	anticipation	trust	disgust
for all muslim in the world come'n pray for gaza palestin... save palestine!! ;'(	trust	anticipation	fear
forbidden question: did the obama administration directly or indirectly arm, aid aq isis? #libya #syria #iraq #journalism #foreignpolicy	fear	anticipation	disgust
free free palestine,  from the river to the sea, palestine shall be free! #gaza	trust	anticipation	joy
free palestine. @barackobama wants to chant against boko haram but supports mass murder in palestine #genocideingaza	disgust	anger	fear
free palestine.. this one is for the innocent ones up in heaven. america's 9/11 is palestines 24/7 💔 free paleste!	sadness	trust	anticipation
from the excerpts it seems that #obama has a very strange notion of #success. #somalia #yemen #isis	disgust	fear	surprise
from the ukranian/russia issues, isis, the ebola crisis, the horrific police state we live in, rape culture, like we are in a global crisis.	sadness	fear	
fuck america, fuck the un, fuck the eu, fuck serbia, fuck greece, fuck russia, and most of all fuck israel	anger	disgust	sadness
funny hoe there's no anything about the ukraine situation even though more folk have died in that than have died in gaza.	surprise	anger	sadness
game vs palestine . , i'm thinking both teams gonna kill .. 😴	fear	sadness	anticipation
gaza oh gaza...all my heart with you there. fingers crossed. #prayforgaza	trust	anticipation	sadness
gaza under attack, media. gaza under attack. why always election election election!!!	disgust	fear	sadness
gaza will be free :') #prayforgaza #prayforpalestine #savegaza	trust	joy	anticipation
gaza, siria, ucraina… this is not a good summer for childrens.	fear	sadness	disgust
georgia has always been supported by #ukraine territorial integrity <3 i love #georgia and #ukraine  <3	trust	joy	
given his dictator methods, long-standing lies, is @putin future secure in russia?	anticipation	disgust	fear
glad i'm flying away from russia not towards it this evening. if that passenger plane was shot down, it changes the whole ukraine dynamic	joy	anticipation	fear
go out from our land!! i̇ts palestine there is no where calling israel	anger	trust	sadness
god be with my brothers and sisters in gaza. #gazaunderattack	trust	sadness	anticipation
god bless palestine , be strong and defeat the zionist genocide #freepalestine	trust	sadness	anticipation
god please send israel to hell and freedom palestine #prayforgaza #savegaza #gazaunderattack	trust	anger	anticipation
going to meet michelle obama! 🇺🇸🇺🇸☺️ #gonnagetcookiesatthewhitehouse	joy	anticipation	
going to the palestine protest in minniapolis tomorrow.. #freepalestine	anticipation	joy	trust
goodluck to russia today in the world cup #russia @niksha_alekseev (;	joy	anticipation	trust
guys, please pray for our brothers and sisters in gaza and palestine. may allah grant them jannah. amin :'(	fear	sadness	trust
hamas are classed as terrorists and condemned for firing in to israel,  but israel actions aren't.	anger	surprise	sadness
very happy with the #drums of #peace coming from #russia & #ukraine.	joy	trust	surprise
hard winter stopped #hitler in #russia 1941. hard winter this year will hopefully stop supercilious attitudes of #eu and #ukraine	anticipation	trust	fear
has money now replaced the #whitedove ? i wonder. #putin #ukraine	fear	anticipation	surprise
having to watch al jazeera to get a decent amount of information on the gaza crisis. impressed with the coverage. awful scenes in gaza. sad.	surprise	sadness	disgust
head of america#white house@obama shud put in effort in destroying the isis govt. we shud not wait to see more pipo die wen u can save them.	disgust	anticipation	sadness
hearing people's idiotic and misinformed opinions on israel and palestine makes my skin crawl. if there is one issue i'm passionate about	disgust	surprise	anger
hei @netanyahu when hamas attack israel, they are labelled as terrorist. when israel attack gaza, no one label them as terrorist. no mercy!!	anger	surprise	sadness
help me. i just went past putin park on the district 😷 i can't breathe	fear	sadness	sarcasm
her brutal comment about palestinians shook us and whether pro-palestine or israel it disturnbed us out of our comfort zone for a rethink.	fear	surprise	sadness
here comes in the inevitable he did it, no she did it between russia and ukraine. someone has to act now. what a tragic thing to happen.	anger	sadness	anticipation
hey @iansomerhalder, please comment on the israel-gaza conflict, your activism is respected by many & your voice could be heard by millions!	trust	anticipation	joy
hey obama when are you going to say something about israel arresting and beating up a us citizen with no charge?? probably never. thanks.	disgust	fear	sadness
hitler could start 2 world wars and killed over 50 millions jews, while the whole world can't stop israel & the massacres in palestine?	surprise	anger	sadness
hitler destroyed the old germany.  putin is destroying the old russia, but russian rebirth will not occur.	anger	trust	anticipation
hm shoot down a plane so the attention gets away from palestine?funny how we don't hear anything about isis anymore to? #justicewillbeserved	disgust	surprise	sadness
holy fuck. either ukraine or russia, or militants, shot down that malaysian jet. 295 people dead. holy.	surprise	sadness	anger
honestly can't believe tm in going to be on a plane to israel ✈️👋💕😱	fear	anticipation	surprise
i always care about gaza and palestine. i know they want to live a happy life. #prayforgazaandpalestine	joy	trust	fear
i am an american and i swear if the usa makes such a stupid mistake as of to go to war with ukraine or russia i'm moving to canada…	anger	fear	anticipation
i bet big vlad putin cannot wait to see capello bring glory to the motherland.	anticipation	trust	
i can't resist it .. we hate israel .. #gaza is our first and last cause .. from the deep suffering in syria here is gaza!	anger	trust	sadness
i could only cry i see their brethren in israel destroyed the palestinian suffering, but i always pray for the salvation of palestine ..	sadness	trust	anticipation
i demand on what the russian prime minister, vladmir putin has to say abt all this!	anger	anticipation	disgust
i do not want war.please people do not do anything stupid.i'm talking about the usa,ukraine,russia (some think that belarus is russia lol)	fear	anticipation	sadness
i don't even know why i am so affected with this israel-palestine thing.	surprise	sadness	disgust
i don't know where i stand on palestine/israel. not being on the left, i get a lot of pro-israel in my ear	sadness	fear	
i don't see a deference gaza or israel or india or sri lanka. we have problems let's solve it first.	anger	anticipation	trust
i don't understand what is going on in ukraine with russia wth	anger	fear	disgust
i don't understand who's in the wrong? israel or palestine? every article tells me something different. wtf....	disgust	fear	sadness
i don't understand why you hate israel we're just a small country gaza started with all this pls understand us to, we just protect our selfs	sadness	fear	anger
i dont understand y arab league is joining america to stand against #isis but failed to stand with #gaza.	sadness	fear	disgust
i don’t see other confirmation of the malaysian airlines jet being downed by russia in ukraine. i regret retweeting that by accident	disgust	sadness	
i flew over ukraine and russia yesterday, scary thought!	fear	sadness	
thoughts are with you again malaysia and all the people on board.	sadness	trust	
i had palestine twitter in my mentions for like 6 hours they need to be mad at israel not me	anger	sadness	disgust
i have friends in both tel aviv and gaza. i'm much much more afraid for my friends in gaza.	fear	sadness	anticipation
i honestly can't even read the news anymore about israel/palestine. just fills me with anger. fuck the western media. #gazaunderattack	anger	sadness	disgust
i just don't understand y arabs don't condemn isis actions,en y mr obama don't ask them 2 do so rather than thinking dat they wl do better	anger	sadness	disgust
i just wanna live till the day palestine will be free #freepalestine ✌️	anticipation	trust	
i really hope #kor beats #rus tomorrow. i want to see putin cry. #worldcup #democracy	anticipation	joy	anger
i really hope peace will be brought back to palestine #freepalestine	anticipation	sadness	trust
i really hope russia lose tonight. putin is a thug and condones terrorism, plus capello is an a-class wanker. #fuckyourussia #rusvskor	anticipation	anger	disgust
i swear the next person that writes about the israel/palestine war is getting removed from my timeline	anger	disgust	trust
i think comparisons between palestine and nazi germany are really unhelpful.	disgust	sadness	anger
i think russia just shot down a civilian jet...malyasian air flight 17...killing 295 people...putin may be more evil than anyone thought.	sadness	surprise	anger
i think some people would rather see isis succeed than obama.	fear	anticipation	surprise
i was pretty paranoid wwiii was coming back in march. now i'm convinced it is, with what's happening in russia/ukraine and israel.	fear	sadness	anticipation
i will not stop supporting gaza until there is peace! we need peace! stop killing the muslims! screw you israel! #pakistansupportsgaza	anger	trust	anticipation
i wish iran would attack israel. israel are monsters #israelstopkilling #gazakids	anger	anticipation	sadness
i wonder if there’s any relation to the ukraine-russia crisis? did it flew into a prohibited area?	fear	sadness	anticipation
i'm interested in war. like i love the fact that israel now has a reason to bomb the shit outta palestine.. and they totally will.	anticipation	trust	joy
i'm not educated enough on this palestine/israel situation. need to read up cuz i see support from both sides everywhere	trust	fear	anticipation
i'm on the opinion that the us and ukraine are solely responsible for the malaysian airline disaster. putin/russia has nothing to gain in it	fear	anger	disgust
i'm sad that hamas is now more popular in gaza due to the increasing death. after 20 kids killed i would sue israel for peace instead of war	sadness	anger	
i'm sure there were gaza demonstrations today but i highly doubt the legitimacy of those images that are doing the rounds. #israel #gaza	disgust	fear	anticipation
i'm terrified by the all-out land-clearing assault by israel happening in the gaza strip right now.	fear	sadness	anger
i'm tired of obama man... russia, isis, and all the other shit going on over seas is going on cause they all know obama is all talk	disgust	anger	sadness
i've always taken a rare moderate stance on israel/palestine issues. but 166 dead in gaza, including innocent civilians, is not acceptable.	disgust	sadness	anger
i've never seen social networks react to attacks on gaza, palestine and syria like this before. this is so good! everything shared counts!	joy	surprise	trust
if #putin wins over #ukraine by force, the united states will share a lot of that blame. vague promises of sanctions aren't enough.	disgust	fear	anger
if a foreign military killed my daughter, you can count on me seeking revenge. hopefully better men than me can broker peace in israel/gaza.	anticipation	anger	fear
my eyes fill with tears reading about gaza under attack by israel... may allah protect them in this ramadhan with full of barakah 😔😔	sadness	anticipation	trust
my heart breaks, seeing this... :'| #prayforgaza #gaza #savegaza	sadness	fear	anger
my heart broke into pieces when i see pictures of gaza & palestine under israel's attack.	sadness	fear	disgust
my heart goes out to all of the innocent lives lost in palestine everyday	sadness	fear	anger
my hearts breaks for palestine. i wish there was more i could do.	sadness	fear	anticipation
my local abc station: hamas has declared war on israel…sirens…iron dome. then in passing, no israelis have been killed…in gaza 100 are dead.	anger	surprise	sadness
my prayers for the innocents of #gaza , #gazaunderattack #fuckyouisrael	trust	sadness	anticipation
my question is what is obama waiting for? serious issues in this country.  plus russia, isis, al qaeda. leadership needed! do your job!	anger	anticipation	disgust
my thoughts and prayers are with all those living in israel (palestine) today. lord bring peace and strengthen your church in the west bank	trust	anticipation	joy
mysterious plane crashed over russia	fear	surprise	sadness
needed to clear my head after waking up to the news of #israel bombing #gaza so tried to meditate my anger away.	surprise	anger	trust
never stop praying for palestine . they need our doa for their strength	trust	anticipation	joy
news channels such as abc, who claim to know so much about israel n palestine never actually have news reporters at the scene #freepalestine	disgust	fear	anger
next time #ukraine makes any kind of a deal with #russia, let's just count on russia lying, doing the opposite of what they said they would	disgust	anticipation	fear
no country in the history of the world has taken more care to protect innocent people while under brutal attack than israel  #gaza	trust	joy	fact
no obama you dont make isis a manageable problem you freaking destroy them #theend	anger	anticipation	disgust
no parent should bury their child. #israel took care of it; they eradicate families in whole #gazaunderattack #gaza	sadness	anger	disgust
no sleep no sleep! go russia! 🇷🇺🇷🇺 #worldcup2014 #russiavssouthkorea	anticipation	joy	
no. im the socialist. not obama. you are either a deluded or a liar	disgust	fear	anger
non stop praying for my family and people in palestine.	fear	anticipation	trust
i don't know when israel will realize this isn't a war/fight... it's a massacre.	anticipation	sadness	anger
not a single israile has been killed. all the people who die are palestinians. #savegaza #gaza #palestineunderattack #palestine #israel	sadness	anger	
not building the #keystonexlpipeline enables putin, islamic militants amongst others to disrupt global energy markets as they wish. congrats	anger	disgust	sadness
not in the mood for arguments about palestine but i'll state my opinion	disgust	trust	anger
not sure who deserves this week's **fuck you** the most.. russia or israel.	anger	fear	disgust
now we know what #leadingfrombehind means: gassing civilians in syria, isis taking iraq and russia sending tanks to ukraine #loserstrategy	anger	surprise	sadness
